Chemical Name,Chemical ID,CAS RN,Disease Name,Disease ID,Direct Evidence,Inference Network,Inference Score,Reference Count
Fenofibrate,D011345,49562-28-9,COVID-19,MESH:D000086382,,AGT|CCL2|CRP|IL1B|IL6|SELE|TNF,10.06,7
14-hydroxydocosahexaenoic acid,C059528,86360-66-9,COVID-19,MESH:D000086382,,CCL2|IL6,10.05,5
"3-hydro-2,2,5,6-tetramethylpyrazine",C000598211,,COVID-19,MESH:D000086382,,CCL2|IL6,10.05,5
CP 105696,C089698,,COVID-19,MESH:D000086382,,CCL2|IL6,10.05,5
(glycyl-glycyl)GLP-2,C117499,,COVID-19,MESH:D000086382,,IL10|TNF,10.05,2
mercaptosteroid 4,C000600816,,COVID-19,MESH:D000086382,,CCL2|IL1B,10.05,2
phenanthrene,C031181,85-01-8,COVID-19,MESH:D000086382,,CXCL8|IL10|IL6|TNF,10.05,5
atheronal-A,C512174,,COVID-19,MESH:D000086382,,CXCL8|IL6,10.04,4
CAY 10499,C534918,,COVID-19,MESH:D000086382,,CXCL8|IL6,10.04,4
Cholecalciferol,D002762,67-97-0,COVID-19,MESH:D000086382,,AGT|IL10|IL1B|IL6|TNF,10.04,6
KB R7785,C107086,,COVID-19,MESH:D000086382,,CXCL8|IL1B,10.04,2
luliconazole,C112528,,COVID-19,MESH:D000086382,,CXCL10|CXCL8,10.03,2
Poly(amidoamine),C531249,,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,10.02,5
Triamcinolone Acetonide,D014222,76-25-5,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,10.02,5
zingerone,C013738,122-48-5,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,10.02,5
Thioacetamide,D013853,62-55-5,COVID-19,MESH:D000086382,,ACE2|AGT|ATP11A|BCL11A|BTK|CCL2|CCL3|CCR2|CD209|CRP|CXCL10|CXCL8|HCK|ICAM5|IFNAR2|IL10|IL1B|IL2|IL2RA|IL6|LZTFL1|PLSCR1|TMPRSS2|TMPRSS4|TNF|TYK2|UGCG,10.01,29
brevetoxin 2,C546611,,COVID-19,MESH:D000086382,,CXCL8|IL6|TNF,10.00,5
Cadmium,D002104,7440-43-9,COVID-19,MESH:D000086382,,AGT|CCL2|CCR2|CD209|CRP|CXCL8|F8|HCK|IL10|IL1B|IL2|IL6|IL7|MUC1|OAS1|SELE|TNF|UGCG,10.00,11
virodhamine,C456739,,COVID-19,MESH:D000086382,,CXCL8|TNF,9.99,2
"3,5-diethoxycarbonyl-1,4-dihydrocollidine",C530773,,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,9.97,5
Dihydroxyacetone,D004098,96-26-4,COVID-19,MESH:D000086382,,CCL3|IL6|TNF,9.97,5
Quinolinic Acid,D017378,89-00-9,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,9.97,5
Riluzole,D019782,1744-22-5,COVID-19,MESH:D000086382,,IL6|TMPRSS2|TNF,9.97,8
Vitamin K,D014812,12001-79-5,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,9.97,5
betulin,C002503,473-98-3,COVID-19,MESH:D000086382,,IL1B|IL2|TNF,9.96,2
boldine methine,C506830,,COVID-19,MESH:D000086382,,AGT|CXCL8,9.96,2
glycyrol,C531349,,COVID-19,MESH:D000086382,,IL1B|IL6,9.95,4
Pentachlorophenol,D010416,87-86-5,COVID-19,MESH:D000086382,,AGT|CCL2|CCL3|CCR2|CXCL10|CXCL8|IL10|IL1B|IL2|IL6|TNF|TYK2,9.94,7
Phosphorylcholine,D010767,107-73-3,COVID-19,MESH:D000086382,,CRP|TNF,9.94,2
tesaglitazar,C501413,,COVID-19,MESH:D000086382,,ABO|CCL2|CCL3|CXCL10|IL1B|IL6,9.94,6
2-quinoxaline-carboxamide-N-adamantan-1-yl,C569355,,COVID-19,MESH:D000086382,,IL1B|TNF,9.91,2
alpha-hydroxy-gamma-methylmercaptobutyric acid,C008391,583-91-5,COVID-19,MESH:D000086382,,IL1B|TNF,9.91,2
Dimethyl Fumarate,D000069462,,COVID-19,MESH:D000086382,,CCL2|CXCL10|TNF,9.91,1
Glucans,D005936,,COVID-19,MESH:D000086382,,CXCL8|IL10,9.91,2
glyceryl-isoeugenol,C560287,,COVID-19,MESH:D000086382,,IL1B|TNF,9.91,2
"kallidin, des-Arg(10)-",C052787,71800-36-7,COVID-19,MESH:D000086382,,IL1B|TNF,9.91,2
lipostabil,C005152,11096-62-1,COVID-19,MESH:D000086382,,IL1B|TNF,9.91,2
mitochondrial uncoupler BAM15,C000707874,,COVID-19,MESH:D000086382,,IL1B|TNF,9.91,2
orazipone,C502617,,COVID-19,MESH:D000086382,,IL1B|TNF,9.91,2
SB 657510,C553589,,COVID-19,MESH:D000086382,,IL1B|TNF,9.91,2
timosaponin AIII,C543146,,COVID-19,MESH:D000086382,,IL1B|TNF,9.91,2
"2,7-dioxo-2,7-dihydro-3H-naphtho(1,2,3-de)quinoline-1-carboxylate",C000592751,,COVID-19,MESH:D000086382,,IL6|TNF,9.90,5
allyl methyl disulfide,C054528,2179-58-0,COVID-19,MESH:D000086382,,IL6|TNF,9.90,5
cyclic guanosine monophosphate-adenosine monophosphate,C584311,,COVID-19,MESH:D000086382,,IL6|TNF,9.90,5
heclin,C000712650,,COVID-19,MESH:D000086382,,IL6|TNF,9.90,5
isopraeroside IV,C574016,,COVID-19,MESH:D000086382,,IL6|TNF,9.90,5
N'-(2-phenylallyl)hydrazine,C506836,,COVID-19,MESH:D000086382,,IL6|TNF,9.90,5
Polymethyl Methacrylate,D019904,9011-14-7,COVID-19,MESH:D000086382,,IL2|IL6,9.90,5
septilin,C047352,,COVID-19,MESH:D000086382,,IL6|TNF,9.90,5
Butyric Acid,D020148,107-92-6,COVID-19,MESH:D000086382,,CCL2|CXCL8|IL1B|IL6|TNF,9.89,5
taurolithocholic acid 3-sulfate,C066776,15324-65-9,COVID-19,MESH:D000086382,,AGT|IL6,9.88,5
triphenyltin chloride,C012594,639-58-7,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,9.88,5
gastrin 17,C013550,60748-06-3,COVID-19,MESH:D000086382,,CXCL8|SELE,9.87,2
Diethylhexyl Phthalate,D004051,117-81-7,COVID-19,MESH:D000086382,,AGT|BCL11A|BSG|CCL2|CCL3|CCR2|CRP|CXCL8|IFNAR2|IL10|IL1B|IL6|PLSCR1|TMPRSS2|TNF,9.85,12
rimexolone,C013769,49697-38-3,COVID-19,MESH:D000086382,,IL2|TNF,9.85,1
"1,3-dichloro-2-propanol",C033489,96-23-1,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,9.83,5
Sodium Glutamate,D012970,142-47-2,COVID-19,MESH:D000086382,,CCL2|IL10|IL1B|IL2|IL6|TMPRSS2|TNF,9.83,8
Thiamine,D013831,59-43-8,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,9.83,5
AM 251,C103505,,COVID-19,MESH:D000086382,,CXCL8|IL1B|TNF|UGCG,9.81,4
chromium hexavalent ion,C074702,18540-29-9,COVID-19,MESH:D000086382,,ACE2|CCL2|CRP|CXCL8|FUT2|HCK|IL1B|IL2|IL6|PLSCR1|TNF,9.81,22
Cyclic GMP,D006152,7665-99-8,COVID-19,MESH:D000086382,,AGT|IL1B|TNF,9.81,3
platycodigenin 3-O-(glucopyranosyl-(1-3)-glucopyranosyl)-28-O-(apiofuranosyl-(1-3)-xylopyranosyl-(1-4)-rhamnopyranosyl-(1-2)-arabinopyranoside),C548432,,COVID-19,MESH:D000086382,,IL10|IL2,9.81,2
Tetanus Toxoid,D013745,,COVID-19,MESH:D000086382,,IL10|IL2,9.81,2
VIVIT peptide,C121611,,COVID-19,MESH:D000086382,,IL10|IL2,9.81,2
3-aminofluoranthene,C046693,2693-46-1,COVID-19,MESH:D000086382,,CXCL10|CXCL8,9.79,2
butenafine,C067594,101828-21-1,COVID-19,MESH:D000086382,,CXCL10|CXCL8,9.79,2
ferrostatin-1,C573944,,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,9.78,5
IkK-16 compound,C000630125,,COVID-19,MESH:D000086382,,IL10|TNF,9.78,2
methyl gallate,C052082,99-24-1,COVID-19,MESH:D000086382,,IL10|TNF,9.78,2
nimbolide,C042198,25990-37-8,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,9.78,5
Sitosterols,D012855,,COVID-19,MESH:D000086382,,CCL2|IL1B,9.78,2
benzyl bromide,C038682,100-39-0,COVID-19,MESH:D000086382,,CXCL8|IL1B,9.77,2
moutan cortex,C038881,,COVID-19,MESH:D000086382,,CCL2|IL6,9.77,5
SB 216763,C417521,,COVID-19,MESH:D000086382,,AGT|IL6|TNF,9.77,6
Gold Sodium Thiosulfate,D012971,15283-45-1,COVID-19,MESH:D000086382,,CXCL8|IL6,9.76,4
thymoquinone,C003466,490-91-5,COVID-19,MESH:D000086382,,IL10|IL1B|IL6|TNF,9.76,5
Indican,D007200,487-94-5,COVID-19,MESH:D000086382,,CCL2|IL1B|IL6,9.75,5
18alpha-glycyrrhetinic acid,C119129,1449-05-4,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,9.74,5
gallocatechol,C057580,1617-55-6,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,9.74,5
S-allylcysteine,C065299,21593-77-1,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,9.74,5
Dicumarol,D001728,66-76-2,COVID-19,MESH:D000086382,,CXCL8|IL1B|TNF,9.73,3
"Fatty Acids, Essential",D005228,,COVID-19,MESH:D000086382,,CCL2|IL1B|TNF,9.73,2
Lenalidomide,D000077269,191732-72-6,COVID-19,MESH:D000086382,,IL1B|IL2|TNF,9.73,2
Leuprolide,D016729,53714-56-0,COVID-19,MESH:D000086382,,CXCL8|IL6|TNF,9.73,5
phenylacetaldehyde,C013192,122-78-1,COVID-19,MESH:D000086382,,CXCL8|TNF,9.72,2
Butylated Hydroxyanisole,D002083,25013-16-5,COVID-19,MESH:D000086382,,IL10|IL1B|IL6|TNF,9.71,5
Etoposide,D005047,33419-42-0,COVID-19,MESH:D000086382,,ACE2|CCL3|CXCL8|IL1B|IL6|TMPRSS2|TNF,9.68,21
butylbenzyl phthalate,C027561,85-68-7,COVID-19,MESH:D000086382,,CCL2|CXCL8|IL1B|IL6|TNF,9.66,5
ochratoxin A,C025589,303-47-9,COVID-19,MESH:D000086382,,AGT|CXCL8|IL10|IL1B|IL2|IL6|MUC1|SELE|TNF,9.66,7
Gallic Acid,D005707,149-91-7,COVID-19,MESH:D000086382,,CCL2|CXCL8|IL1B|IL6|SELE|TNF,9.65,6
"2-amino-5,6-dihydro-6-methyl-4H-1,3-thiazine",C093124,,COVID-19,MESH:D000086382,,IL1B|TNF,9.64,2
belnacasan,C520022,,COVID-19,MESH:D000086382,,IL1B|TNF,9.64,2
Inorganic Chemicals,D007287,,COVID-19,MESH:D000086382,,IL1B|TNF,9.64,2
manganese (III) meso-tetrakis(N-ethylpyridinium-2-yl)porphyrin,C431023,,COVID-19,MESH:D000086382,,IL1B|TNF,9.64,2
mogroside V,C041740,88901-36-4,COVID-19,MESH:D000086382,,IL1B|TNF,9.64,2
N-(2-hydroxybenzoyl)tyramine,C521850,,COVID-19,MESH:D000086382,,IL1B|TNF,9.64,2
N-(3-propylcarbamoyloxirane-2-carbonyl)-isoleucyl-proline,C068250,134448-10-5,COVID-19,MESH:D000086382,,IL1B|TNF,9.64,2
Oligomycins,D009840,,COVID-19,MESH:D000086382,,CXCL8|IL1B|TNF,9.64,3
p-hydroxycinnamaldehyde,C117045,,COVID-19,MESH:D000086382,,IL1B|TNF,9.64,2
"4-methyl-2-((2-methylbenzyl) amino)-1,3-thiazole-5-carboxylic acid",C000628268,,COVID-19,MESH:D000086382,,IL6|TNF,9.63,5
4-methylumbelliferyl acetate,C032078,2747-05-9,COVID-19,MESH:D000086382,,IL6|TNF,9.63,5
allyl sulfide,C038491,592-88-1,COVID-19,MESH:D000086382,,CRP|IL1B|IL6|TNF,9.63,5
amyrone,C511312,,COVID-19,MESH:D000086382,,IL6|TNF,9.63,5
cavidine,C011188,32728-75-9,COVID-19,MESH:D000086382,,IL6|TNF,9.63,5
lanatoside C,C018548,17575-22-3,COVID-19,MESH:D000086382,,CCL2|CXCL8,9.63,2
narciclasine,C010753,29477-83-6,COVID-19,MESH:D000086382,,IL6|TNF,9.63,5
R 121919,C412383,,COVID-19,MESH:D000086382,,IL6|TNF,9.63,5
cannabinoid CB2 receptor agonist ABK5,C000719156,,COVID-19,MESH:D000086382,,IL2|TNF,9.62,1
"enterotoxin A, Staphylococcal",C026066,37337-57-8,COVID-19,MESH:D000086382,,IL2|TNF,9.62,1
pterostilbene,C107773,,COVID-19,MESH:D000086382,,CRP|IL1B|IL6|TNF,9.62,5
perfluorodecanoic acid,C036567,335-76-2,COVID-19,MESH:D000086382,,IL10|IL1B|IL6|TNF,9.61,5
zerumbone,C403304,471-05-6,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,9.61,5
esculetin,C007628,305-01-1,COVID-19,MESH:D000086382,,CCL2|IL6|TNF,9.60,5
amorolfine,C038974,,COVID-19,MESH:D000086382,,CXCL10|CXCL8,9.59,2
N-(1-(7-fluoro-2-(pyridin-2-yl)quinolin-3-yl)ethyl)-9H-purin-6-amine,C000597234,,COVID-19,MESH:D000086382,,IL10|IL6,9.59,5
Chitosan,D048271,9012-76-4,COVID-19,MESH:D000086382,,IL10|IL6|TNF,9.58,5
mastoparan,C037500,72093-21-1,COVID-19,MESH:D000086382,,IL6|SELE,9.58,5
Vinblastine,D014747,865-21-4,COVID-19,MESH:D000086382,,CCL2|CXCL8|IL1B|IL6|SELE,9.58,6
Endocannabinoids,D063388,,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,9.57,5
lysophosphatidic acid,C032881,,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,9.57,5
Phenylbutyrates,D010654,,COVID-19,MESH:D000086382,,CXCL8|IL6|TNF,9.56,5
Amitriptyline,D000639,50-48-6,COVID-19,MESH:D000086382,,ACE2|IL10|IL1B|IL6|TMPRSS2,9.55,21
1-3-methylbutyryl-N4-6-aminohexanoyl-piperazine,C518710,,COVID-19,MESH:D000086382,,CCL2|IL6,9.54,5
carboprostacyclin,C026678,69552-46-1,COVID-19,MESH:D000086382,,IL10|TNF,9.54,2
SPL-334,C000602674,,COVID-19,MESH:D000086382,,CCL2|IL6,9.54,5
sym-trinitrobenzene,C029222,99-35-4,COVID-19,MESH:D000086382,,IL10|TNF,9.54,2
benzamide,C037689,27208-38-4,COVID-19,MESH:D000086382,,IL1B|IL2|TNF,9.53,2
baicalin,C038044,21967-41-9,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,9.52,5
Dietary Sugars,D000073417,,COVID-19,MESH:D000086382,,CCL2|IL6|TNF,9.52,5
Moxisylyte,D013948,54-32-0,COVID-19,MESH:D000086382,,ACE2|TMPRSS2,9.50,16
Nitroprusside,D009599,15078-28-1,COVID-19,MESH:D000086382,,AGT|CCL2|IL1B|TNF,9.50,3
"2,4,6-trichlorophenyl 4-nitrophenyl ether",C010422,1836-77-7,COVID-19,MESH:D000086382,,CCL2|TNF,9.49,1
"2-(6-((3-(4-(diphenylmethoxy)piperidino)propyl)amino)imidazo(1,2-b)pyridazin-2-yl)-2-methylpropionic acid",C469683,,COVID-19,MESH:D000086382,,CXCL8|TNF,9.49,2
Chelating Agents,D002614,,COVID-19,MESH:D000086382,,CCL2|CSF3|CXCL8|IFNAR2|IL6|IL7,9.49,6
Ethylmercuric Chloride,D005034,107-27-7,COVID-19,MESH:D000086382,,CXCL8|TNF,9.49,2
2-(1'H-indole-3'-carbonyl)thiazole-4-carboxylic acid methyl ester,C548651,,COVID-19,MESH:D000086382,,CCL2|CSF3|IFNAR2|IL10|IL1B|IL6|TNF,9.48,6
amyloid beta-protein (1-42),C075222,,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,9.48,5
Vanadium,D014639,7440-62-2,COVID-19,MESH:D000086382,,CXCL8|IL10|IL6|TNF,9.47,5
"14-deoxy-11,12-didehydroandrographolide",C495626,,COVID-19,MESH:D000086382,,CCL2|CXCL8|IL6|TNF,9.46,5
alternaramide,C545596,,COVID-19,MESH:D000086382,,IL1B|IL6,9.45,4
Carmustine,D002330,154-93-8,COVID-19,MESH:D000086382,,AGT|CCL2|ICAM5|IL1B|IL6|TNF,9.45,7
indole-5-carboxamide,C514526,,COVID-19,MESH:D000086382,,IL1B|IL6,9.45,4
Levofloxacin,D064704,100986-85-4,COVID-19,MESH:D000086382,,CXCL8|IL1B|IL6|TNF,9.45,5
Glycocholic Acid,D006000,475-31-0,COVID-19,MESH:D000086382,,CCR2|CXCL8|IL10|IL6,9.43,6
Hydrogen Peroxide,D006861,7722-84-1,COVID-19,MESH:D000086382,,ACE2|AGT|ATP11A|BTK|CCL2|CSF3|CXCL8|IL10|IL1B|IL2|IL6|SELE|TMEM106B|TMPRSS2|TNF,9.43,25
4-Aminobenzoic Acid,D010129,150-13-0,COVID-19,MESH:D000086382,,IL2|TNF,9.42,1
Lead,D007854,7439-92-1,COVID-19,MESH:D000086382,,AGT|BSG|CCL2|CCL3|CD209|CRP|CXCL10|CXCL8|ICAM5|IL10|IL1B|IL6|TNF,9.42,8
"N-((4-dimethylaminophenyl)methyl)-N-(4-isopropylphenyl)-7-methoxy-1,2,3,4-tetrahydronaphthalen-1-carboxamide",C470794,,COVID-19,MESH:D000086382,,IL2|TNF,9.42,1
Phenylephrine,D010656,59-42-7,COVID-19,MESH:D000086382,,AGT|CCL2|CXCL10|IL1B|IL6|TNF,9.42,6
Proscillaridin,D011442,466-06-8,COVID-19,MESH:D000086382,,CCL2|CXCL8,9.42,2
Vancomycin,D014640,1404-90-6,COVID-19,MESH:D000086382,,ACE2|CRP|IL10|IL1B|IL6|MUC1|PLSCR1|TNF,9.42,21
1-((5-chloro-1H-indol-2-yl)carbonyl)-4-methylpiperazine,C484309,,COVID-19,MESH:D000086382,,IL1B|TNF,9.40,2
2-acetoxy-5-(2-4-(trifluoromethyl)phenethylamino)benzoic acid,C575483,,COVID-19,MESH:D000086382,,IL1B|TNF,9.40,2
arvelexin,C500823,,COVID-19,MESH:D000086382,,IL6|TNF,9.40,5
beta-eudesmol,C051082,473-15-4,COVID-19,MESH:D000086382,,IL1B|TNF,9.40,2
chelex,C006960,80208-96-4,COVID-19,MESH:D000086382,,IL6|TNF,9.40,5
Devazepide,D020109,103420-77-5,COVID-19,MESH:D000086382,,IL6|TNF,9.40,5
dithianone,C018529,3347-22-6,COVID-19,MESH:D000086382,,IL1B|TNF,9.40,2
L 365260,C058121,118101-09-0,COVID-19,MESH:D000086382,,IL6|TNF,9.40,5
LLY-507,C000600304,,COVID-19,MESH:D000086382,,IL6|TNF,9.40,5
Nitroarginine,D019335,2149-70-4,COVID-19,MESH:D000086382,,IL1B|TNF,9.40,2
petrosaspongiolide m,C118309,,COVID-19,MESH:D000086382,,IL1B|TNF,9.40,2
praeruptorin C,C058808,83382-71-2,COVID-19,MESH:D000086382,,IL6|TNF,9.40,5
scutellarein tetramethyl ether,C583906,,COVID-19,MESH:D000086382,,IL6|TNF,9.40,5
WEB 2086,C052518,105219-56-5,COVID-19,MESH:D000086382,,IL1B|TNF,9.40,2
Endosulfan,D004726,115-29-7,COVID-19,MESH:D000086382,,ACE2|AGT|CCL2|CCL3|CRP|CSF3|CXCL10|CXCL8|HCK|IL1B|IL2|IL6|IL7|MUC1|PLSCR1|TNF,9.39,23
geldanamycin,C001277,30562-34-6,COVID-19,MESH:D000086382,,CXCL8|IL1B|IL6|TNF|UGCG,9.39,6
nickel monoxide,C028007,1313-99-1,COVID-19,MESH:D000086382,,BTK|CCL2|CCL3|CXCL8|FUT2|IL10|IL1B|IL2|IL6|MUC1|TNF,9.37,7
WAY-169916,C499198,,COVID-19,MESH:D000086382,,CRP|IL1B,9.37,2
arsenic acid,C025657,7778-39-4,COVID-19,MESH:D000086382,,CXCL8|IL6|TNF,9.36,5
beta Carotene,D019207,7235-40-7,COVID-19,MESH:D000086382,,CXCL8|IL1B|PLSCR1|TNF,9.36,4
epicatechin gallate,C062669,863-03-6,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,9.36,5
Vitamin D,D014807,1406-16-2,COVID-19,MESH:D000086382,,CRP|CXCL8|IL6|TNF,9.36,5
beta-hydroxy simvastatin acid,C483161,,COVID-19,MESH:D000086382,,CCL2|CCL3|CXCL10,9.35,1
Environmental Pollutants,D004785,,COVID-19,MESH:D000086382,,AGT|CD209|IL10|IL2|IL6|TNF,9.34,7
ONO-AE1-329,C461399,,COVID-19,MESH:D000086382,,IL10|TNF,9.34,2
vanadyl sulfate,C034028,27774-13-6,COVID-19,MESH:D000086382,,CCL2|CXCL8|IL1B|IL6,9.34,5
"1,2-Dipalmitoylphosphatidylcholine",D015060,2644-64-6,COVID-19,MESH:D000086382,,CXCL8|IL6,9.33,4
"2-amino-3-(4'-N,N-bis(2-chloroethyl)amino)phenylpropionic acid N-oxide",C492908,,COVID-19,MESH:D000086382,,CXCL8|IL1B,9.33,2
atractylodin,C106914,55290-63-6,COVID-19,MESH:D000086382,,CXCL8|IL6,9.33,4
p-coumaric acid,C495469,,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,9.33,5
Tadalafil,D000068581,,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,9.33,5
Ospemifene,C119141,,COVID-19,MESH:D000086382,,CXCL10|IL6,9.32,5
Thiorphan,D015244,76721-89-6,COVID-19,MESH:D000086382,,ACE2|AGT,9.31,16
"Botulinum Toxins, Type A",D019274,,COVID-19,MESH:D000086382,,CRP|IL6|TNF,9.29,5
bromoacetate,C016274,68-10-0,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,9.29,5
Corticosterone,D003345,50-22-6,COVID-19,MESH:D000086382,,AGT|CCL2|IL1B|IL6|TNF,9.28,6
erionite,C083174,12510-42-8,COVID-19,MESH:D000086382,,CCL3|CSF3|IL1B,9.28,2
oxibendazole,C011321,20559-55-1,COVID-19,MESH:D000086382,,CXCL8|TNF,9.28,2
RV 538,C033110,73257-80-4,COVID-19,MESH:D000086382,,TNF|UGCG,9.28,2
"7,3'-dihydroxy-4'-methoxyisoflavone",C121707,,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,9.25,5
Mecamylamine,D008464,60-40-2,COVID-19,MESH:D000086382,,CCL2|IL1B|TNF,9.25,2
Methimazole,D008713,60-56-0,COVID-19,MESH:D000086382,,ACE2|AGT|CCL2|CXCL8|F8|IFNAR2|IL10|IL1B|IL6|MUC1|PLSCR1|TMEM106B|TNF|UGCG,9.25,25
rhodioloside,C009172,,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,9.25,5
S-Nitroso-N-Acetylpenicillamine,D026423,79032-48-7,COVID-19,MESH:D000086382,,AGT|HCK|TNF,9.25,3
AWD 12-281,C470045,,COVID-19,MESH:D000086382,,IL1B|IL6,9.24,4
doxifluridine,C025034,3094-09-5,COVID-19,MESH:D000086382,,CXCL8|IL6|TNF,9.24,5
Strophanthins,D013328,,COVID-19,MESH:D000086382,,CCL2|CXCL8,9.24,2
Tetrachlorodibenzodioxin,D013749,1746-01-6,COVID-19,MESH:D000086382,,ABO|AGT|ATP11A|BCL11A|BSG|BTK|CCL2|CCL3|CCR2|CRP|CSF3|CXCL10|CXCL8|F8|FUT2|HCK|ICAM5|IFNAR2|IL10|IL10RB|IL1B|IL2|IL2RA|IL6|IL7|LZTFL1|MUC1|OAS1|PLSCR1|SELE|TMEM106B|TMPRSS2|TMPRSS4|TNF|TYK2|UGCG,9.23,19
4-aminobenzoyl-glycyl-prolyl-leucyl-alanine hydroxamic acid,C095170,,COVID-19,MESH:D000086382,,IL1B|TNF,9.20,2
5-(3-(4-(4-benzylpiperazin-1-yl)-N-(4-phenylthiazol-2-yl))propanamide,C000607343,,COVID-19,MESH:D000086382,,IL1B|TNF,9.20,2
Batroxobin,D012103,,COVID-19,MESH:D000086382,,IL10|IL6,9.20,5
Ciguatoxins,D002922,11050-21-8,COVID-19,MESH:D000086382,,BSG|CCL2|CXCL10|IL1B|LZTFL1|PLSCR1|UGCG,9.20,7
corynoline,C487644,18797-79-0,COVID-19,MESH:D000086382,,IL1B|TNF,9.20,2
delta-8-tetrahydrocannabinol,C035731,5957-75-5,COVID-19,MESH:D000086382,,IL1B|TNF,9.20,2
peiminine,C047331,18059-10-4,COVID-19,MESH:D000086382,,IL1B|TNF,9.20,2
phosphatidylbutanol,C068564,,COVID-19,MESH:D000086382,,IL1B|TNF,9.20,2
praeruptorin A,C441070,,COVID-19,MESH:D000086382,,IL1B|TNF,9.20,2
Pyrones,D011753,,COVID-19,MESH:D000086382,,IL1B|TNF,9.20,2
ranitidine bismuth citrate,C073340,,COVID-19,MESH:D000086382,,IL1B|TNF,9.20,2
SCH 442416,C416650,,COVID-19,MESH:D000086382,,IL1B|TNF,9.20,2
BAY u9773,C071435,,COVID-19,MESH:D000086382,,IL6|TNF,9.19,5
dehydrocostus lactone,C083030,477-43-0,COVID-19,MESH:D000086382,,IL6|TNF,9.19,5
ethyl N-allyl-N-(2-methyl-3-(4-(4-amidinophenoxycarbonyl)phenyl)propenoyl)aminoacetate methanesulfonate,C100807,,COVID-19,MESH:D000086382,,IL6|TNF,9.19,5
ferruginol,C431074,,COVID-19,MESH:D000086382,,IL6|TNF,9.19,5
fexaramine,C474615,,COVID-19,MESH:D000086382,,IL6|TNF,9.19,5
fraxetin,C105671,574-84-5,COVID-19,MESH:D000086382,,IL6|TNF,9.19,5
ginsenoside Rg3,C097367,,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,9.18,5
mizoribine,C010052,50924-49-7,COVID-19,MESH:D000086382,,CXCL8|IL1B,9.15,2
potassium bromate,C019536,7758-01-2,COVID-19,MESH:D000086382,,IL1B|IL6|MUC1|TNF,9.12,6
"(2-cyano-3,12-dioxooleana-1,9-dien-28-oic acid) trifluoroethylamide",C568680,,COVID-19,MESH:D000086382,,CCL2|TNF,9.11,1
amprenavir,C095108,,COVID-19,MESH:D000086382,,CCL2|CCL3,9.11,1
BI605906,C556457,,COVID-19,MESH:D000086382,,CXCL8|TNF,9.10,2
ebselen,C042986,60940-34-3,COVID-19,MESH:D000086382,,CXCL8|IL6|TNF,9.10,5
Digoxigenin,D004076,1672-46-4,COVID-19,MESH:D000086382,,CCL2|CXCL8,9.08,2
Auranofin,D001310,34031-32-8,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,9.07,5
bifenthrin,C099952,82657-04-3,COVID-19,MESH:D000086382,,IL1B|IL2|IL6|TNF,9.07,5
GW 4064,C412815,,COVID-19,MESH:D000086382,,ACE2|CCL2|ICAM5|IL1B|IL6|TNF,9.07,21
gap 27 peptide,C455880,,COVID-19,MESH:D000086382,,IL1B|IL6,9.06,4
sargachromanol G,C577249,,COVID-19,MESH:D000086382,,IL1B|IL6,9.06,4
1-bromopropane,C118559,106-94-5,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,9.04,5
"24,25-epoxycholesterol",C028358,68138-65-8,COVID-19,MESH:D000086382,,CXCL8|SELE,9.04,2
Glycochenodeoxycholic Acid,D005999,640-79-9,COVID-19,MESH:D000086382,,AGT|CCR2|CXCL8|IL6,9.04,6
oren gedoku to,C061676,,COVID-19,MESH:D000086382,,IL10|IL1B,9.04,3
"2-((dimethylamino)methyl)-9-hydroxythieno(2,3-c)isoquinolin-5(4H)-one",C000595230,,COVID-19,MESH:D000086382,,IL1B|TNF,9.02,2
3-(4-chlorophenylselanyl)-1-methyl-1H-indole,C000628457,,COVID-19,MESH:D000086382,,IL1B|TNF,9.02,2
