Phenotype Term Name,Phenotype Term ID,Disease Name,Disease ID,Chemical Inference Network,Gene Inference Network,References
histamine secretion mediated by immunoglobulin,GO:0097280,COVID-19,MESH:D000086382,Nifedipine,,2
response to fluoride,GO:1902617,COVID-19,MESH:D000086382,Melatonin,,3
proton transmembrane transport,GO:1902600,COVID-19,MESH:D000086382,Zinc,,3
behavioral response to chemical pain,GO:0061366,COVID-19,MESH:D000086382,Zinc,,3
testosterone biosynthetic process,GO:0061370,COVID-19,MESH:D000086382,Ivermectin,,3
autophagosome maturation,GO:0097352,COVID-19,MESH:D000086382,Chloroquine,,6
response to antibiotic,GO:0046677,COVID-19,MESH:D000086382,Chloroquine,,6
positive regulation of mitochondrial fission,GO:0090141,COVID-19,MESH:D000086382,Melatonin,,3
gamma-delta T cell proliferation,GO:0046630,COVID-19,MESH:D000086382,Active Hexose Correlated Compound,,2
positive regulation of alkaline phosphatase activity,GO:0010694,COVID-19,MESH:D000086382,Sirolimus,,2
epithelial structure maintenance,GO:0010669,COVID-19,MESH:D000086382,Melatonin,,3
negative regulation of protein localization to plasma membrane,GO:1903077,COVID-19,MESH:D000086382,Ivermectin,,3
positive regulation of blood vessel endothelial cell migration,GO:0043536,COVID-19,MESH:D000086382,Sirolimus,,2
adult locomotory behavior,GO:0008344,COVID-19,MESH:D000086382,Ivermectin,,3
adult feeding behavior,GO:0008343,COVID-19,MESH:D000086382,Sirolimus,,2
negative regulation of epithelial cell migration,GO:0010633,COVID-19,MESH:D000086382,Melatonin,,3
regulation of calcium ion transmembrane transport,GO:1903169,COVID-19,MESH:D000086382,Nifedipine,,2
"synaptic transmission, glutamatergic",GO:0035249,COVID-19,MESH:D000086382,Sirolimus,,2
positive regulation of serine-type peptidase activity,GO:1902573,COVID-19,MESH:D000086382,camostat,,3
microglial cell proliferation,GO:0061518,COVID-19,MESH:D000086382,Melatonin,,3
negative regulation of catalase activity,GO:1902552,COVID-19,MESH:D000086382,Melatonin,,3
cellular response to oxidative stress,GO:0034599,COVID-19,MESH:D000086382,favipiravir,,2
calcium channel activity,GO:0005262,COVID-19,MESH:D000086382,Zinc,,3
mannosylation,GO:0097502,COVID-19,MESH:D000086382,Zinc,,3
aerobic respiration,GO:0009060,COVID-19,MESH:D000086382,Zinc,,3
phosphate ion transmembrane transport,GO:0035435,COVID-19,MESH:D000086382,Choline,,2
estrogen metabolic process,GO:0008210,COVID-19,MESH:D000086382,Melatonin,,3
positive regulation of calcium ion transport into cytosol,GO:0010524,COVID-19,MESH:D000086382,Nifedipine,,2
androgen metabolic process,GO:0008209,COVID-19,MESH:D000086382,Nifedipine,,3
steroid metabolic process,GO:0008202,COVID-19,MESH:D000086382,Ribavirin,,7
regulation of autophagy,GO:0010506,COVID-19,MESH:D000086382,Chloroquine,,6
negative regulation of histone H3-K27 trimethylation,GO:1902465,COVID-19,MESH:D000086382,Melatonin,,3
heterocycle metabolic process,GO:0046483,COVID-19,MESH:D000086382,Ribavirin,,7
mammary duct terminal end bud growth,GO:0060763,COVID-19,MESH:D000086382,Zinc,,3
neutral lipid biosynthetic process,GO:0046460,COVID-19,MESH:D000086382,Nifedipine,,2
cellular response to cisplatin,GO:0072719,COVID-19,MESH:D000086382,Chloroquine,,7
chorion development,GO:0060717,COVID-19,MESH:D000086382,Melatonin,,3
succinate dehydrogenase (ubiquinone) activity,GO:0008177,COVID-19,MESH:D000086382,Melatonin,,3
urate metabolic process,GO:0046415,COVID-19,MESH:D000086382,Melatonin,,3
regulation of gastrulation,GO:0010470,COVID-19,MESH:D000086382,Acetazolamide,,2
xenobiotic detoxification by transmembrane export across the plasma membrane,GO:1990961,COVID-19,MESH:D000086382,Emodin,,2
positive regulation of heart rate,GO:0010460,COVID-19,MESH:D000086382,Nifedipine,,3
calcium-mediated signaling using intracellular calcium source,GO:0035584,COVID-19,MESH:D000086382,Chloroquine,,6
negative regulation of blood circulation,GO:1903523,COVID-19,MESH:D000086382,Melatonin,,3
positive regulation of exosomal secretion,GO:1903543,COVID-19,MESH:D000086382,apilimod,,3
amine metabolic process,GO:0009308,COVID-19,MESH:D000086382,Ribavirin,,7
T cell migration,GO:0072678,COVID-19,MESH:D000086382,Chloroquine,,6
neutrophil extravasation,GO:0072672,COVID-19,MESH:D000086382,Azithromycin,,2
response to radiation,GO:0009314,COVID-19,MESH:D000086382,Betulinic Acid,,2
positive regulation of cAMP-mediated signaling,GO:0043950,COVID-19,MESH:D000086382,Ivermectin,,3
stress granule disassembly,GO:0035617,COVID-19,MESH:D000086382,Chloroquine,,6
gap junction channel activity,GO:0005243,COVID-19,MESH:D000086382,Dactinomycin,,2
intrahepatic bile duct development,GO:0035622,COVID-19,MESH:D000086382,Zinc,,3
very-low-density lipoprotein particle,GO:0034361,COVID-19,MESH:D000086382,Choline,,2
diacylglycerol metabolic process,GO:0046339,COVID-19,MESH:D000086382,Choline,,2
positive regulation of glucose import,GO:0046326,COVID-19,MESH:D000086382,Ivermectin,,3
glucose import,GO:0046323,COVID-19,MESH:D000086382,Dactinomycin,,2
extracellularly glutamate-gated chloride channel activity,GO:0008068,COVID-19,MESH:D000086382,Ivermectin,,3
response to odorant,GO:1990834,COVID-19,MESH:D000086382,Zinc Sulfate,,2
Toll-like receptor 4 binding,GO:0035662,COVID-19,MESH:D000086382,Chloroquine,,6
maintenance of protein localization in organelle,GO:0072595,COVID-19,MESH:D000086382,Hydroxychloroquine,,6
protein-containing complex localization,GO:0031503,COVID-19,MESH:D000086382,Chloroquine,,6
intestinal epithelial cell development,GO:0060576,COVID-19,MESH:D000086382,Choline,,2
response to heat,GO:0009408,COVID-19,MESH:D000086382,cannabidiolic acid,,2
fibroblast activation,GO:0072537,COVID-19,MESH:D000086382,apilimod,,3
intracellular cAMP-activated cation channel activity,GO:0005222,COVID-19,MESH:D000086382,Sirolimus,,2
carnitine metabolic process,GO:0009437,COVID-19,MESH:D000086382,Choline,,2
positive regulation of necroptotic process,GO:0060545,COVID-19,MESH:D000086382,Melatonin,,4
"inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity",GO:0005220,COVID-19,MESH:D000086382,Losartan,,2
lysosomal lumen pH elevation,GO:0035752,COVID-19,MESH:D000086382,Chloroquine,,8
negative regulation of p38MAPK cascade,GO:1903753,COVID-19,MESH:D000086382,Chloroquine,,6
positive regulation of organelle assembly,GO:1902117,COVID-19,MESH:D000086382,Chloroquine,,6
polyol biosynthetic process,GO:0046173,COVID-19,MESH:D000086382,Losartan,,2
triglyceride transport,GO:0034197,COVID-19,MESH:D000086382,Sirolimus,,2
fertilization,GO:0009566,COVID-19,MESH:D000086382,Melatonin,,4
D-glutamyltransferase activity,GO:0047823,COVID-19,MESH:D000086382,Zinc,,3
uridine metabolic process,GO:0046108,COVID-19,MESH:D000086382,Ribavirin,,7
inosine metabolic process,GO:0046102,COVID-19,MESH:D000086382,Ribavirin,,7
hypoxanthine metabolic process,GO:0046100,COVID-19,MESH:D000086382,Ribavirin,,7
body morphogenesis,GO:0010171,COVID-19,MESH:D000086382,Zinc,,3
negative regulation of MyD88-dependent toll-like receptor signaling pathway,GO:0034125,COVID-19,MESH:D000086382,chloroquine diphosphate,,6
negative regulation of activation-induced cell death of T cells,GO:0070236,COVID-19,MESH:D000086382,Melatonin,,3
heterotypic cell-cell adhesion,GO:0034113,COVID-19,MESH:D000086382,Chloroquine,,6
positive regulation of ATF6-mediated unfolded protein response,GO:1903893,COVID-19,MESH:D000086382,Melatonin,,3
positive regulation of IRE1-mediated unfolded protein response,GO:1903896,COVID-19,MESH:D000086382,Melatonin,,3
positive regulation of PERK-mediated unfolded protein response,GO:1903899,COVID-19,MESH:D000086382,Melatonin,,3
erythrocyte homeostasis,GO:0034101,COVID-19,MESH:D000086382,Zinc,,3
positive regulation of flagellated sperm motility,GO:1902093,COVID-19,MESH:D000086382,Melatonin,,3
positive regulation of hypoxia-inducible factor-1alpha signaling pathway,GO:1902073,COVID-19,MESH:D000086382,Losartan,,2
regulation of SMAD protein signal transduction,GO:0060390,COVID-19,MESH:D000086382,Zinc,,3
circulatory system development,GO:0072359,COVID-19,MESH:D000086382,Melatonin,,3
histone H3 acetylation,GO:0043966,COVID-19,MESH:D000086382,Chloroquine,,6
cGMP metabolic process,GO:0046068,COVID-19,MESH:D000086382,Dactinomycin,,2
positive regulation of type I interferon-mediated signaling pathway,GO:0060340,COVID-19,MESH:D000086382,Interferon-alpha,,3
aorta morphogenesis,GO:0035909,COVID-19,MESH:D000086382,Zinc,,3
pigmentation,GO:0043473,COVID-19,MESH:D000086382,Ivermectin,,3
head development,GO:0060322,COVID-19,MESH:D000086382,Melatonin,,3
cardiac epithelial to mesenchymal transition,GO:0060317,COVID-19,MESH:D000086382,Zinc,,3
negative regulation of DNA-binding transcription factor activity,GO:0043433,COVID-19,MESH:D000086382,cannabidiolic acid,,2
hemoglobin metabolic process,GO:0020027,COVID-19,MESH:D000086382,Zinc,,3
response to mycotoxin,GO:0010046,COVID-19,MESH:D000086382,Sirolimus,,2
response to nickel cation,GO:0010045,COVID-19,MESH:D000086382,Melatonin,,3
bone regeneration,GO:1990523,COVID-19,MESH:D000086382,apilimod,,3
response to bisphenol A,GO:1903925,COVID-19,MESH:D000086382,Losartan,,2
response to sodium arsenite,GO:1903935,COVID-19,MESH:D000086382,Melatonin,,3
monounsaturated fatty acid biosynthetic process,GO:1903966,COVID-19,MESH:D000086382,Zinc,,3
histone H4-R3 methylation,GO:0043985,COVID-19,MESH:D000086382,Ribavirin,,7
negative regulation of microvillus length,GO:1903982,COVID-19,MESH:D000086382,Zinc,,3
iron ion export across plasma membrane,GO:1903988,COVID-19,MESH:D000086382,Chloroquine,,6
micronucleus organization,GO:0032125,COVID-19,MESH:D000086382,Betulinic Acid,,2
replication-born double-strand break repair via sister chromatid exchange,GO:1990414,COVID-19,MESH:D000086382,Dactinomycin,,2
positive regulation of endoplasmic reticulum unfolded protein response,GO:1900103,COVID-19,MESH:D000086382,perfluorobutyric acid,,2
negative regulation of histone H3-K9 dimethylation,GO:1900110,COVID-19,MESH:D000086382,Melatonin,,3
NK T cell proliferation,GO:0001866,COVID-19,MESH:D000086382,perfluorobutyric acid,,2
abscission,GO:0009838,COVID-19,MESH:D000086382,Melatonin,,3
epithelial to mesenchymal transition,GO:0001837,COVID-19,MESH:D000086382,Losartan,,2
blastocyst formation,GO:0001825,COVID-19,MESH:D000086382,Melatonin,,4
blastocyst development,GO:0001824,COVID-19,MESH:D000086382,remdesivir,,13
negative regulation of oocyte maturation,GO:1900194,COVID-19,MESH:D000086382,Melatonin,,3
regulation of multicellular organism growth,GO:0040014,COVID-19,MESH:D000086382,Zinc,,3
primary metabolic process,GO:0044238,COVID-19,MESH:D000086382,Choline,,2
prepulse inhibition,GO:0060134,COVID-19,MESH:D000086382,Sirolimus,,2
positive regulation of membrane permeability,GO:1905710,COVID-19,MESH:D000086382,Hydroxychloroquine,,6
positive regulation of xenobiotic detoxification by transmembrane export across the plasma membrane,GO:1905701,COVID-19,MESH:D000086382,Melatonin,,3
dendrite arborization,GO:0140059,COVID-19,MESH:D000086382,Sirolimus,,2
fructose metabolic process,GO:0006000,COVID-19,MESH:D000086382,Ribavirin,,7
negative regulation of multicellular organism growth,GO:0040015,COVID-19,MESH:D000086382,Choline,,2
stem cell proliferation,GO:0072089,COVID-19,MESH:D000086382,Dactinomycin,,2
micturition,GO:0060073,COVID-19,MESH:D000086382,Chloroquine,,6
cardiac muscle contraction,GO:0060048,COVID-19,MESH:D000086382,Nifedipine,,5
heart contraction,GO:0060047,COVID-19,MESH:D000086382,Nifedipine,,2
retina morphogenesis in camera-type eye,GO:0060042,COVID-19,MESH:D000086382,nafamostat,,2
pericardium development,GO:0060039,COVID-19,MESH:D000086382,Zinc,,3
regulation of blood-brain barrier permeability,GO:1905603,COVID-19,MESH:D000086382,Losartan,,2
acetate metabolic process,GO:0006083,COVID-19,MESH:D000086382,Hydroxychloroquine,,6
regulation of MAPK cascade,GO:0043408,COVID-19,MESH:D000086382,Lopinavir,,5
gluconeogenesis,GO:0006094,COVID-19,MESH:D000086382,Nifedipine,,4
"synaptic transmission, GABAergic",GO:0051932,COVID-19,MESH:D000086382,Sirolimus,,2
negative regulation of calcium ion transport,GO:0051926,COVID-19,MESH:D000086382,Nifedipine,,2
positive regulation of leukocyte proliferation,GO:0070665,COVID-19,MESH:D000086382,Zinc Sulfate,,2
positive regulation of mitochondrial depolarization,GO:0051901,COVID-19,MESH:D000086382,Chloroquine,,6
2-oxoglutarate metabolic process,GO:0006103,COVID-19,MESH:D000086382,Hydroxychloroquine,,6
oxidative phosphorylation,GO:0006119,COVID-19,MESH:D000086382,Sirolimus,,2
"mitochondrial electron transport, NADH to ubiquinone",GO:0006120,COVID-19,MESH:D000086382,Tenofovir,,2
eye development,GO:0001654,COVID-19,MESH:D000086382,Melatonin,,3
purine nucleotide metabolic process,GO:0006163,COVID-19,MESH:D000086382,Ribavirin,,7
membrane depolarization,GO:0051899,COVID-19,MESH:D000086382,Melatonin,,3
negative regulation of cardioblast differentiation,GO:0051892,COVID-19,MESH:D000086382,Ribavirin,,7
neuron projection extension,GO:1990138,COVID-19,MESH:D000086382,Sirolimus,,2
Gi/o-coupled serotonin receptor activity,GO:0001586,COVID-19,MESH:D000086382,Sirolimus,,2
cAMP biosynthetic process,GO:0006171,COVID-19,MESH:D000086382,Chloroquine,,6
oocyte maturation,GO:0001556,COVID-19,MESH:D000086382,Melatonin,,3
virion component,GO:0044423,COVID-19,MESH:D000086382,Chloroquine,,6
ovarian follicle development,GO:0001541,COVID-19,MESH:D000086382,Melatonin,,4
action potential,GO:0001508,COVID-19,MESH:D000086382,Nifedipine,,2
positive regulation of protein homooligomerization,GO:0032464,COVID-19,MESH:D000086382,Zinc,,3
protein localization to lipid droplet,GO:1990044,COVID-19,MESH:D000086382,Melatonin,,3
cAMP transport,GO:0070730,COVID-19,MESH:D000086382,Melatonin,,3
action potential initiation,GO:0099610,COVID-19,MESH:D000086382,Chloroquine,,6
establishment of organelle localization,GO:0051656,COVID-19,MESH:D000086382,Melatonin,,3
pyrimidine nucleoside metabolic process,GO:0006213,COVID-19,MESH:D000086382,Ribavirin,,7
pyrimidine nucleotide metabolic process,GO:0006220,COVID-19,MESH:D000086382,Ribavirin,,7
positive regulation of epithelial tube formation,GO:1905278,COVID-19,MESH:D000086382,Sirolimus,,2
peptidyl-tyrosine modification,GO:0018212,COVID-19,MESH:D000086382,Choline,,2
microvillus organization,GO:0032528,COVID-19,MESH:D000086382,Zinc,,3
response to hydrostatic pressure,GO:0051599,COVID-19,MESH:D000086382,Sirolimus,,2
mitochondrial calcium ion homeostasis,GO:0051560,COVID-19,MESH:D000086382,Emodin,,2
endosome lysis involved in viral entry into host cell,GO:0075514,COVID-19,MESH:D000086382,Chloroquine,,6
dendritic cell proliferation,GO:0044565,COVID-19,MESH:D000086382,Active Hexose Correlated Compound,,2
protein transport into membrane raft,GO:0032596,COVID-19,MESH:D000086382,Melatonin,,3
negative regulation of lysosomal protein catabolic process,GO:1905166,COVID-19,MESH:D000086382,Chloroquine,,6
regulation of cytosolic calcium ion concentration,GO:0051480,COVID-19,MESH:D000086382,Nifedipine,,4
maintenance of protein location in nucleus,GO:0051457,COVID-19,MESH:D000086382,Sirolimus,,2
intracellular pH elevation,GO:0051454,COVID-19,MESH:D000086382,Chloroquine,,6
intracellular pH reduction,GO:0051452,COVID-19,MESH:D000086382,chloroquine diphosphate,,6
negative regulation of calcineurin-NFAT signaling cascade,GO:0070885,COVID-19,MESH:D000086382,Melatonin,,3
palmitic acid biosynthetic process,GO:1900535,COVID-19,MESH:D000086382,Zinc,,3
emodin metabolic process,GO:1900573,COVID-19,MESH:D000086382,Emodin,,2
positive regulation of oxidoreductase activity,GO:0051353,COVID-19,MESH:D000086382,Tenofovir,,2
negative regulation of transferase activity,GO:0051348,COVID-19,MESH:D000086382,Tenofovir,,2
positive regulation of transferase activity,GO:0051347,COVID-19,MESH:D000086382,Tenofovir,,2
meiotic metaphase plate congression,GO:0051311,COVID-19,MESH:D000086382,Melatonin,,3
type I interferon production,GO:0032606,COVID-19,MESH:D000086382,Chloroquine,,6
interleukin-10 production,GO:0032613,COVID-19,MESH:D000086382,apilimod,,3
interleukin-12 production,GO:0032615,COVID-19,MESH:D000086382,apilimod,,3
interleukin-23 production,GO:0032627,COVID-19,MESH:D000086382,apilimod,,3
regulation of interleukin-12 production,GO:0032655,COVID-19,MESH:D000086382,Active Hexose Correlated Compound,,2
UV-damage excision repair,GO:0070914,COVID-19,MESH:D000086382,Zinc,,3
negative regulation of sequestering of calcium ion,GO:0051283,COVID-19,MESH:D000086382,Hydroxychloroquine,,6
viral release from host cell by cytolysis,GO:0044659,COVID-19,MESH:D000086382,"(2-(2',3'-dihydrobenzo(1,4)dioxin-6'-yl)-2-hydroxy-1-pyrrolidin-1-ylmethylethyl)nonanoic acid amide",,1
regulation of tumor necrosis factor production,GO:0032680,COVID-19,MESH:D000086382,Zinc,,3
peptidyl-lysine acetylation,GO:0018394,COVID-19,MESH:D000086382,Sirolimus,,2
spindle assembly,GO:0051225,COVID-19,MESH:D000086382,Melatonin,,3
negative regulation of interleukin-1 beta production,GO:0032691,COVID-19,MESH:D000086382,Chloroquine,,6
trehalose-phosphatase activity,GO:0004805,COVID-19,MESH:D000086382,Ivermectin,,3
clathrin coat assembly involved in endocytosis,GO:0099049,COVID-19,MESH:D000086382,baricitinib,,2
positive regulation of nitric-oxide synthase activity,GO:0051000,COVID-19,MESH:D000086382,Choline,,2
protein kinase C activity,GO:0004697,COVID-19,MESH:D000086382,Choline,,2
AMP-activated protein kinase activity,GO:0004679,COVID-19,MESH:D000086382,Emodin,,2
forebrain development,GO:0030900,COVID-19,MESH:D000086382,Choline,,2
polar body extrusion after meiotic divisions,GO:0040038,COVID-19,MESH:D000086382,Melatonin,,5
oligosaccharide-lipid intermediate biosynthetic process,GO:0006490,COVID-19,MESH:D000086382,Zinc,,3
base conversion or substitution editing,GO:0016553,COVID-19,MESH:D000086382,N(4)-hydroxycytidine,,2
sucrose alpha-glucosidase activity,GO:0004575,COVID-19,MESH:D000086382,Choline,,2
nucleic acid phosphodiester bond hydrolysis,GO:0090305,COVID-19,MESH:D000086382,Dactinomycin,,4
RNA biosynthetic process,GO:0032774,COVID-19,MESH:D000086382,camostat,,3
beta-galactosidase activity,GO:0004565,COVID-19,MESH:D000086382,Losartan,,2
positive regulation of CREB transcription factor activity,GO:0032793,COVID-19,MESH:D000086382,Ivermectin,,3
nitric-oxide synthase activity,GO:0004517,COVID-19,MESH:D000086382,Chloroquine,,6
positive regulation of intrinsic apoptotic signaling pathway,GO:2001244,COVID-19,MESH:D000086382,Chloroquine,,6
doxorubicin transport,GO:1900753,COVID-19,MESH:D000086382,Chloroquine,,6
positive regulation of osteoclast development,GO:2001206,COVID-19,MESH:D000086382,Betulinic Acid,,2
peptide metabolic process,GO:0006518,COVID-19,MESH:D000086382,Ribavirin,,7
aspartate metabolic process,GO:0006531,COVID-19,MESH:D000086382,Hydroxychloroquine,,6
positive regulation of natural killer cell activation,GO:0032816,COVID-19,MESH:D000086382,Active Hexose Correlated Compound,,2
"circadian sleep/wake cycle, wakefulness",GO:0042746,COVID-19,MESH:D000086382,Melatonin,,3
hydrogen peroxide metabolic process,GO:0042743,COVID-19,MESH:D000086382,Losartan,,2
regulation of embryonic cell shape,GO:0016476,COVID-19,MESH:D000086382,Ivermectin,,3
malic enzyme activity,GO:0004470,COVID-19,MESH:D000086382,Zinc,,3
isocitrate dehydrogenase (NADP+) activity,GO:0004450,COVID-19,MESH:D000086382,Zinc,,3
isocitrate dehydrogenase (NAD+) activity,GO:0004449,COVID-19,MESH:D000086382,Zinc,,3
regulation of dendritic cell differentiation,GO:2001198,COVID-19,MESH:D000086382,Active Hexose Correlated Compound,,2
ethanolamine metabolic process,GO:0006580,COVID-19,MESH:D000086382,Choline,,3
thyroid hormone generation,GO:0006590,COVID-19,MESH:D000086382,Melatonin,,3
neutrophic extracellular trap formation,GO:0140645,COVID-19,MESH:D000086382,Ritonavir,,3
creatine metabolic process,GO:0006600,COVID-19,MESH:D000086382,Ribavirin,,7
creatine biosynthetic process,GO:0006601,COVID-19,MESH:D000086382,Sirolimus,,2
glutamate dehydrogenase (NAD+) activity,GO:0004352,COVID-19,MESH:D000086382,Melatonin,,3
positive regulation of locomotion involved in locomotory behavior,GO:0090326,COVID-19,MESH:D000086382,Zinc,,3
NLS-bearing protein import into nucleus,GO:0006607,COVID-19,MESH:D000086382,Ivermectin,,4
positive regulation of cellular response to drug,GO:2001040,COVID-19,MESH:D000086382,selamectin,,2
positive regulation of response to drug,GO:2001025,COVID-19,MESH:D000086382,Tenofovir,,2
positive regulation of response to DNA damage stimulus,GO:2001022,COVID-19,MESH:D000086382,Ribavirin,,7
lamellar body,GO:0042599,COVID-19,MESH:D000086382,Chloroquine,,6
hemoglobin biosynthetic process,GO:0042541,COVID-19,MESH:D000086382,Sirolimus,,2
intracellular estrogen receptor signaling pathway,GO:0030520,COVID-19,MESH:D000086382,perfluorobutyric acid,,2
negative regulation of locomotion involved in locomotory behavior,GO:0090327,COVID-19,MESH:D000086382,Melatonin,,3
negative regulation of transforming growth factor beta receptor signaling pathway,GO:0030512,COVID-19,MESH:D000086382,apilimod,,3
fatty acid biosynthetic process,GO:0006633,COVID-19,MESH:D000086382,Zinc,,3
unsaturated fatty acid biosynthetic process,GO:0006636,COVID-19,MESH:D000086382,Zinc,,3
kinesis,GO:0042465,COVID-19,MESH:D000086382,Melatonin,,3
progesterone metabolic process,GO:0042448,COVID-19,MESH:D000086382,Melatonin,,3
phospholipid metabolic process,GO:0006644,COVID-19,MESH:D000086382,Betulinic Acid,,2
phosphatidylcholine biosynthetic process,GO:0006656,COVID-19,MESH:D000086382,Sirolimus,,2
serotonin catabolic process,GO:0042429,COVID-19,MESH:D000086382,Melatonin,,3
serotonin metabolic process,GO:0042428,COVID-19,MESH:D000086382,Chloroquine,,6
aminopeptidase activity,GO:0004177,COVID-19,MESH:D000086382,Zinc,,3
circadian regulation of gene expression,GO:0032922,COVID-19,MESH:D000086382,Melatonin,,4
dopamine biosynthetic process,GO:0042416,COVID-19,MESH:D000086382,Melatonin,,3
norepinephrine metabolic process,GO:0042415,COVID-19,MESH:D000086382,Chloroquine,,6
sleep,GO:0030431,COVID-19,MESH:D000086382,Melatonin,,3
thyroid hormone metabolic process,GO:0042403,COVID-19,MESH:D000086382,Zinc,,3
prostanoid metabolic process,GO:0006692,COVID-19,MESH:D000086382,Choline,,2
prostaglandin metabolic process,GO:0006693,COVID-19,MESH:D000086382,Ribavirin,,7
cytochrome-c oxidase activity,GO:0004129,COVID-19,MESH:D000086382,Zinc,,3
bile acid biosynthetic process,GO:0006699,COVID-19,MESH:D000086382,Melatonin,,3
autophagosome membrane disassembly,GO:0030399,COVID-19,MESH:D000086382,Chloroquine,,7
alditol:NADP+ 1-oxidoreductase activity,GO:0004032,COVID-19,MESH:D000086382,Losartan,,2
phagosome acidification,GO:0090383,COVID-19,MESH:D000086382,apilimod,,3
L-alanine:2-oxoglutarate aminotransferase activity,GO:0004021,COVID-19,MESH:D000086382,Choline,,2
glutathione catabolic process,GO:0006751,COVID-19,MESH:D000086382,Chloroquine,,6
phagosome-lysosome fusion,GO:0090385,COVID-19,MESH:D000086382,apilimod,,3
porphyrin-containing compound biosynthetic process,GO:0006779,COVID-19,MESH:D000086382,Dactinomycin,,2
positive regulation of protein localization to lysosome,GO:0150032,COVID-19,MESH:D000086382,Chloroquine,,6
purine nucleoside metabolic process,GO:0042278,COVID-19,MESH:D000086382,Ribavirin,,7
bone mineralization,GO:0030282,COVID-19,MESH:D000086382,Hydroxychloroquine,,6
tissue regeneration,GO:0042246,COVID-19,MESH:D000086382,Hydroxychloroquine,,6
monoatomic ion transport,GO:0006811,COVID-19,MESH:D000086382,Nifedipine,,4
zinc ion transport,GO:0006829,COVID-19,MESH:D000086382,Zinc,,4
xenobiotic transmembrane transport,GO:0006855,COVID-19,MESH:D000086382,Chloroquine,,6
mitochondrial respiratory chain complex I,GO:0005747,COVID-19,MESH:D000086382,Sirolimus,,2
cellular metal ion homeostasis,GO:0006875,COVID-19,MESH:D000086382,Zinc,,3
receptor-mediated endocytosis,GO:0006898,COVID-19,MESH:D000086382,Chloroquine,,6
cytosine metabolic process,GO:0019858,COVID-19,MESH:D000086382,Ribavirin,,7
L-ascorbic acid biosynthetic process,GO:0019853,COVID-19,MESH:D000086382,Zinc,,3
cellular ketone metabolic process,GO:0042180,COVID-19,MESH:D000086382,Hydroxychloroquine,,6
xenobiotic catabolic process,GO:0042178,COVID-19,MESH:D000086382,Losartan,,2
mitochondrial respiratory chain complex III,GO:0005750,COVID-19,MESH:D000086382,Sirolimus,,2
melatonin biosynthetic process,GO:0030187,COVID-19,MESH:D000086382,Melatonin,,4
neuron differentiation,GO:0030182,COVID-19,MESH:D000086382,Sirolimus,,2
"phagocytosis, engulfment",GO:0006911,COVID-19,MESH:D000086382,Sirolimus,,2
muscle contraction,GO:0006936,COVID-19,MESH:D000086382,Dactinomycin,,2
smooth muscle contraction,GO:0006939,COVID-19,MESH:D000086382,Nifedipine,,3
response to stress,GO:0006950,COVID-19,MESH:D000086382,Zinc,,3
macrophage activation,GO:0042116,COVID-19,MESH:D000086382,Azithromycin,,2
complement activation,GO:0006956,COVID-19,MESH:D000086382,"Heparin, Low-Molecular-Weight",,2
mitochondrial proton-transporting ATP synthase complex,GO:0005753,COVID-19,MESH:D000086382,Sirolimus,,2
T-helper 1 type immune response,GO:0042088,COVID-19,MESH:D000086382,apilimod,,3
glucuronosyltransferase activity,GO:0015020,COVID-19,MESH:D000086382,Betulinic Acid,,2
olfactory behavior,GO:0042048,COVID-19,MESH:D000086382,Zinc Sulfate,,2
negative regulation of glomerular filtration,GO:0003105,COVID-19,MESH:D000086382,Zinc,,3
channel activity,GO:0015267,COVID-19,MESH:D000086382,Zinc,,3
positive regulation of male gonad development,GO:2000020,COVID-19,MESH:D000086382,Zinc,,3
choline metabolic process,GO:0019695,COVID-19,MESH:D000086382,Choline,,10
negative regulation of cortisol biosynthetic process,GO:2000065,COVID-19,MESH:D000086382,Sirolimus,,2
positive regulation of natural killer cell mediated cytotoxicity,GO:0045954,COVID-19,MESH:D000086382,Active Hexose Correlated Compound,,3
NAD metabolic process,GO:0019674,COVID-19,MESH:D000086382,Sirolimus,,2
positive regulation of mitotic cell cycle,GO:0045931,COVID-19,MESH:D000086382,Sirolimus,,2
chemosensory behavior,GO:0007635,COVID-19,MESH:D000086382,Chloroquine,,6
locomotory behavior,GO:0007626,COVID-19,MESH:D000086382,Emodin,,2
positive regulation of fatty acid transport,GO:2000193,COVID-19,MESH:D000086382,Choline,,2
negative regulation of reproductive process,GO:2000242,COVID-19,MESH:D000086382,Ivermectin,,3
short-term memory,GO:0007614,COVID-19,MESH:D000086382,Melatonin,,3
learning,GO:0007612,COVID-19,MESH:D000086382,Zinc,,3
behavior,GO:0007610,COVID-19,MESH:D000086382,Sirolimus,,2
positive regulation of male germ cell proliferation,GO:2000256,COVID-19,MESH:D000086382,Melatonin,,3
suppression by virus of host catalytic activity,GO:0039513,COVID-19,MESH:D000086382,Sirolimus,,2
pH elevation,GO:0045852,COVID-19,MESH:D000086382,Chloroquine,,6
pH reduction,GO:0045851,COVID-19,MESH:D000086382,Chloroquine,,6
negative regulation of T-helper 17 type immune response,GO:2000317,COVID-19,MESH:D000086382,apilimod,,3
positive regulation of ovarian follicle development,GO:2000386,COVID-19,MESH:D000086382,Sirolimus,,2
cadmium ion transport,GO:0015691,COVID-19,MESH:D000086382,Zinc,,3
