Gene Symbol,Gene ID,Disease Name,Disease ID,Direct Evidence,Inference Network,Inference Score,Reference Count
TAT,6898,COVID-19,MESH:D000086382,,Dactinomycin,3.23,1
VASN,114990,COVID-19,MESH:D000086382,,Sirolimus,3.23,1
WNT3A,89780,COVID-19,MESH:D000086382,,Melatonin,3.23,2
ZNF141,7700,COVID-19,MESH:D000086382,,Zinc,3.23,2
ZNF275,10838,COVID-19,MESH:D000086382,,Zinc,3.23,2
ACOT10,64833,COVID-19,MESH:D000086382,,Choline,3.22,1
AXL,558,COVID-19,MESH:D000086382,,Dactinomycin,3.22,1
CHES1,555843,COVID-19,MESH:D000086382,,Choline,3.22,1
CNTFR,1271,COVID-19,MESH:D000086382,,Zinc Sulfate,3.22,1
FBXL21,213311,COVID-19,MESH:D000086382,,Choline,3.22,1
KLK1B27,16619,COVID-19,MESH:D000086382,,Choline,3.22,1
MIR346,442911,COVID-19,MESH:D000086382,,Choline,3.22,1
MIR421,693122,COVID-19,MESH:D000086382,,Choline,3.22,1
MIR486,723876,COVID-19,MESH:D000086382,,Choline,3.22,1
NR1I3,9970,COVID-19,MESH:D000086382,,Ivermectin|perfluorobutyric acid,3.22,3
PKDREJ,10343,COVID-19,MESH:D000086382,,Choline,3.22,1
PKP4,8502,COVID-19,MESH:D000086382,,Sirolimus,3.22,1
POT1B,72836,COVID-19,MESH:D000086382,,Choline,3.22,1
RNF113A2,66381,COVID-19,MESH:D000086382,,Choline,3.22,1
TTC34,100287898,COVID-19,MESH:D000086382,,Choline,3.22,1
XLKD1,100196222,COVID-19,MESH:D000086382,,Choline,3.22,1
ZFP316,54201,COVID-19,MESH:D000086382,,Choline,3.22,1
ZFP335,329559,COVID-19,MESH:D000086382,,Choline,3.22,1
AMH,268,COVID-19,MESH:D000086382,,Melatonin,3.21,2
CCNO,10309,COVID-19,MESH:D000086382,,Zinc Sulfate,3.21,1
KISS1,3814,COVID-19,MESH:D000086382,,Melatonin,3.21,2
PCBP3,54039,COVID-19,MESH:D000086382,,Zinc Sulfate,3.21,1
SLC18A1,6570,COVID-19,MESH:D000086382,,Zinc Sulfate,3.21,1
SLFN12,55106,COVID-19,MESH:D000086382,,Zinc,3.21,2
SMIM14,201895,COVID-19,MESH:D000086382,,Sirolimus,3.21,1
TTC27,55622,COVID-19,MESH:D000086382,,Zinc Sulfate,3.21,1
UBB,7314,COVID-19,MESH:D000086382,,Melatonin,3.21,2
ZNF550,162972,COVID-19,MESH:D000086382,,Zinc,3.21,2
AHR,196,COVID-19,MESH:D000086382,,Dactinomycin|Emodin|Zinc,3.20,3
APBB1,322,COVID-19,MESH:D000086382,,Zinc Sulfate,3.20,1
ARHGEF18,23370,COVID-19,MESH:D000086382,,Zinc Sulfate,3.20,1
CNTF,1270,COVID-19,MESH:D000086382,,Zinc Sulfate,3.20,1
MAGEE2,139599,COVID-19,MESH:D000086382,,Ivermectin,3.20,2
NME1-NME2,654364,COVID-19,MESH:D000086382,,Ivermectin,3.20,2
RIMS2,9699,COVID-19,MESH:D000086382,,Zinc Sulfate,3.20,1
TSC1,7248,COVID-19,MESH:D000086382,,Sirolimus,3.20,1
WASHC2A,387680,COVID-19,MESH:D000086382,,Ivermectin,3.20,2
WNK2,65268,COVID-19,MESH:D000086382,,Zinc Sulfate,3.20,1
CAR10,72605,COVID-19,MESH:D000086382,,Choline,3.19,1
CLOCK,9575,COVID-19,MESH:D000086382,,Melatonin,3.19,2
CYP2C66,69888,COVID-19,MESH:D000086382,,Choline,3.19,1
ENPP2,5168,COVID-19,MESH:D000086382,,Mercaptopurine,3.19,1
KLK5,25818,COVID-19,MESH:D000086382,,Zinc,3.19,2
KLRA17,170733,COVID-19,MESH:D000086382,,Choline,3.19,1
LINC00304,283860,COVID-19,MESH:D000086382,,Zinc,3.19,2
MIR296,407022,COVID-19,MESH:D000086382,,Zinc,3.19,2
MIR411,693121,COVID-19,MESH:D000086382,,Zinc,3.19,2
MSX3,17703,COVID-19,MESH:D000086382,,Choline,3.19,1
PABPC1L,80336,COVID-19,MESH:D000086382,,Zinc Sulfate,3.19,1
PCDHA7,56141,COVID-19,MESH:D000086382,,Choline,3.19,1
RIPPLY2,134701,COVID-19,MESH:D000086382,,Choline,3.19,1
SCG3,29106,COVID-19,MESH:D000086382,,Zinc Sulfate,3.19,1
SERTAD4,56256,COVID-19,MESH:D000086382,,Zinc Sulfate,3.19,1
SKOR1,390598,COVID-19,MESH:D000086382,,Choline,3.19,1
SLC30A8,169026,COVID-19,MESH:D000086382,,Zinc,3.19,2
SUV39H1,6839,COVID-19,MESH:D000086382,,Sirolimus,3.19,1
WNT6,7475,COVID-19,MESH:D000086382,,Zinc Sulfate,3.19,1
ZFP553,233887,COVID-19,MESH:D000086382,,Choline,3.19,1
ZFP74,72723,COVID-19,MESH:D000086382,,Choline,3.19,1
ZFP84,74352,COVID-19,MESH:D000086382,,Choline,3.19,1
ZNF256,10172,COVID-19,MESH:D000086382,,Zinc,3.19,2
ZNF337,26152,COVID-19,MESH:D000086382,,Zinc,3.19,2
ZXDB,158586,COVID-19,MESH:D000086382,,Zinc,3.19,2
HAMP,57817,COVID-19,MESH:D000086382,,Mercaptopurine,3.18,1
SEMA3A,10371,COVID-19,MESH:D000086382,,Sirolimus,3.18,1
TLR3,7098,COVID-19,MESH:D000086382,,Chloroquine,3.18,5
ATAD3B,83858,COVID-19,MESH:D000086382,,Ivermectin,3.17,2
BBS9,27241,COVID-19,MESH:D000086382,,Zinc Sulfate,3.17,1
C1ORF52,148423,COVID-19,MESH:D000086382,,Zinc,3.17,2
CAPN11,11131,COVID-19,MESH:D000086382,,Zinc,3.17,2
CNKSR2,22866,COVID-19,MESH:D000086382,,Zinc Sulfate,3.17,1
COMMD10,51397,COVID-19,MESH:D000086382,,Zinc Sulfate,3.17,1
EXD1,161829,COVID-19,MESH:D000086382,,Choline,3.17,1
GFI1B,8328,COVID-19,MESH:D000086382,,Zinc,3.17,2
GPR89B,51463,COVID-19,MESH:D000086382,,Ivermectin,3.17,2
H1F3,14957,COVID-19,MESH:D000086382,,Choline,3.17,1
HOXC11,3227,COVID-19,MESH:D000086382,,Choline,3.17,1
HPR,3250,COVID-19,MESH:D000086382,,Zinc,3.17,2
LRRIQ1,84125,COVID-19,MESH:D000086382,,Zinc,3.17,2
MIR187,406963,COVID-19,MESH:D000086382,,Zinc,3.17,2
MIR211,406993,COVID-19,MESH:D000086382,,Zinc,3.17,2
PCSK2,5126,COVID-19,MESH:D000086382,,Zinc Sulfate,3.17,1
PLD1,5337,COVID-19,MESH:D000086382,,Dactinomycin,3.17,1
PTGS1,5742,COVID-19,MESH:D000086382,,Ivermectin|Zinc,3.17,4
PTH2,113091,COVID-19,MESH:D000086382,,Choline,3.17,1
SEMG1,6406,COVID-19,MESH:D000086382,,Zinc,3.17,2
SPINDOC,144097,COVID-19,MESH:D000086382,,Zinc,3.17,2
SYNRG,11276,COVID-19,MESH:D000086382,,Zinc Sulfate,3.17,1
TEGT,373123,COVID-19,MESH:D000086382,,Choline,3.17,1
UQCC4,283951,COVID-19,MESH:D000086382,,Zinc,3.17,2
ZNF408,79797,COVID-19,MESH:D000086382,,Zinc,3.17,2
ZNF746,155061,COVID-19,MESH:D000086382,,Zinc,3.17,2
ACSM3,6296,COVID-19,MESH:D000086382,,Melatonin,3.16,2
ALDH5A1,7915,COVID-19,MESH:D000086382,,Melatonin,3.16,2
CD160,11126,COVID-19,MESH:D000086382,,Zinc,3.16,2
CFAP410,755,COVID-19,MESH:D000086382,,Zinc,3.16,2
GPRC5D,55507,COVID-19,MESH:D000086382,,Zinc,3.16,2
JPH3,57338,COVID-19,MESH:D000086382,,Zinc Sulfate,3.16,1
L3MBTL3,84456,COVID-19,MESH:D000086382,,Zinc Sulfate,3.16,1
MIR361,494323,COVID-19,MESH:D000086382,,Zinc,3.16,2
MIR671,768213,COVID-19,MESH:D000086382,,Zinc,3.16,2
MLKL,197259,COVID-19,MESH:D000086382,,Melatonin,3.16,2
NCR3,259197,COVID-19,MESH:D000086382,,Zinc,3.16,2
NDUFAF5,79133,COVID-19,MESH:D000086382,,Zinc,3.16,2
PDE8A,5151,COVID-19,MESH:D000086382,,Zinc Sulfate,3.16,1
PNLDC1,154197,COVID-19,MESH:D000086382,,Zinc,3.16,2
ZNF235,9310,COVID-19,MESH:D000086382,,Zinc,3.16,2
CYP3A57,622127,COVID-19,MESH:D000086382,,Choline,3.15,1
CYP3A59,100041449,COVID-19,MESH:D000086382,,Choline,3.15,1
EAR1,13586,COVID-19,MESH:D000086382,,Choline,3.15,1
LRRC19,64922,COVID-19,MESH:D000086382,,Choline,3.15,1
MIR197,406974,COVID-19,MESH:D000086382,,Choline,3.15,1
MIR802,768219,COVID-19,MESH:D000086382,,Choline,3.15,1
RNASE2A,93726,COVID-19,MESH:D000086382,,Choline,3.15,1
SH3PXD2B,285590,COVID-19,MESH:D000086382,,Zinc Sulfate,3.15,1
UGT1A6B,394435,COVID-19,MESH:D000086382,,Choline,3.15,1
ZFP324,243834,COVID-19,MESH:D000086382,,Choline,3.15,1
ZFP641,239652,COVID-19,MESH:D000086382,,Choline,3.15,1
ZFP668,244219,COVID-19,MESH:D000086382,,Choline,3.15,1
C8ORF33,65265,COVID-19,MESH:D000086382,,Ivermectin,3.14,2
C9ORF85,138241,COVID-19,MESH:D000086382,,Zinc,3.14,2
CYP-35A2,182177,COVID-19,MESH:D000086382,,Zinc,3.14,2
FOXH1,8928,COVID-19,MESH:D000086382,,Zinc,3.14,2
LILRB1,10859,COVID-19,MESH:D000086382,,Zinc,3.14,2
PFN3,345456,COVID-19,MESH:D000086382,,Ivermectin,3.14,2
PGAP2,27315,COVID-19,MESH:D000086382,,Zinc Sulfate,3.14,1
SERPINA3N,20716,COVID-19,MESH:D000086382,,Sirolimus,3.14,1
SLCO1B1,10599,COVID-19,MESH:D000086382,,Chloroquine,3.14,5
SMIM26,388789,COVID-19,MESH:D000086382,,Zinc,3.14,2
TNFSF13B,10673,COVID-19,MESH:D000086382,,Zinc Sulfate,3.14,1
TRIM15,89870,COVID-19,MESH:D000086382,,Zinc,3.14,2
VSTM2B,342865,COVID-19,MESH:D000086382,,Ivermectin,3.14,2
DIO2,1734,COVID-19,MESH:D000086382,,Mercaptopurine,3.13,1
EPHA7,2045,COVID-19,MESH:D000086382,,Zinc Sulfate,3.13,1
ERF,2077,COVID-19,MESH:D000086382,,Zinc Sulfate,3.13,1
FCGR2B,2213,COVID-19,MESH:D000086382,,Melatonin,3.13,2
GJB2,2706,COVID-19,MESH:D000086382,,Chloroquine,3.13,5
MIR674,732489,COVID-19,MESH:D000086382,,Choline,3.13,1
SIDT2,51092,COVID-19,MESH:D000086382,,Zinc Sulfate,3.13,1
SIRT2,22933,COVID-19,MESH:D000086382,,Sirolimus,3.13,1
UTS2B,257313,COVID-19,MESH:D000086382,,Choline,3.13,1
ZFP524,66056,COVID-19,MESH:D000086382,,Choline,3.13,1
C1ORF56,54964,COVID-19,MESH:D000086382,,Ivermectin,3.12,2
CBLIF,2694,COVID-19,MESH:D000086382,,Zinc,3.12,2
CRH,1392,COVID-19,MESH:D000086382,,Dactinomycin,3.12,1
CYP27C1,339761,COVID-19,MESH:D000086382,,Zinc,3.12,2
H2BC12,85236,COVID-19,MESH:D000086382,,Zinc Sulfate,3.12,1
H2BC13,8340,COVID-19,MESH:D000086382,,Zinc,3.12,2
HSP-16.2,178659,COVID-19,MESH:D000086382,,Zinc,3.12,2
IGH,3492,COVID-19,MESH:D000086382,,Zinc,3.12,2
MIR133B,442890,COVID-19,MESH:D000086382,,Zinc,3.12,2
MMP23B,8510,COVID-19,MESH:D000086382,,Ivermectin,3.12,2
MT1HL1,645745,COVID-19,MESH:D000086382,,Zinc,3.12,2
MYF6,4618,COVID-19,MESH:D000086382,,Zinc,3.12,2
PCDHGA10,56106,COVID-19,MESH:D000086382,,Ivermectin,3.12,2
PIK3CB,5291,COVID-19,MESH:D000086382,,Sirolimus,3.12,1
PRKCH,5583,COVID-19,MESH:D000086382,,Sirolimus,3.12,1
PSG1,5669,COVID-19,MESH:D000086382,,Zinc,3.12,2
RASGRF1,5923,COVID-19,MESH:D000086382,,Zinc Sulfate,3.12,1
RSPH14,27156,COVID-19,MESH:D000086382,,Zinc,3.12,2
TBC1D8,11138,COVID-19,MESH:D000086382,,Zinc Sulfate,3.12,1
TOX2,84969,COVID-19,MESH:D000086382,,Zinc Sulfate,3.12,1
ZNF131,7690,COVID-19,MESH:D000086382,,Zinc,3.12,2
ZNF263,10127,COVID-19,MESH:D000086382,,Zinc,3.12,2
ZNF574,64763,COVID-19,MESH:D000086382,,Zinc,3.12,2
BARHL2,343472,COVID-19,MESH:D000086382,,Choline,3.11,1
BTN1A1,696,COVID-19,MESH:D000086382,,Choline,3.11,1
CCL18,6362,COVID-19,MESH:D000086382,,Zinc,3.11,2
CRISP1,167,COVID-19,MESH:D000086382,,Zinc,3.11,2
DCDC2A,195208,COVID-19,MESH:D000086382,,Choline,3.11,1
DOT1L,84444,COVID-19,MESH:D000086382,,Zinc Sulfate,3.11,1
DPPA3,359787,COVID-19,MESH:D000086382,,Choline,3.11,1
EGFL7,51162,COVID-19,MESH:D000086382,,Zinc Sulfate,3.11,1
FABP7A,58128,COVID-19,MESH:D000086382,,Zinc,3.11,2
FGF16,8823,COVID-19,MESH:D000086382,,Zinc,3.11,2
H2-Q2,15013,COVID-19,MESH:D000086382,,Choline,3.11,1
KAZN,23254,COVID-19,MESH:D000086382,,Zinc Sulfate,3.11,1
MAPK7,5598,COVID-19,MESH:D000086382,,Zinc Sulfate,3.11,1
MIR328,442901,COVID-19,MESH:D000086382,,Zinc,3.11,2
NIN,51199,COVID-19,MESH:D000086382,,Zinc Sulfate,3.11,1
PCDHB22,93893,COVID-19,MESH:D000086382,,Choline,3.11,1
PIK3CG,5294,COVID-19,MESH:D000086382,,Sirolimus,3.11,1
PKD2L2,27039,COVID-19,MESH:D000086382,,Choline,3.11,1
POU1F1,5449,COVID-19,MESH:D000086382,,Zinc,3.11,2
S100A12,6283,COVID-19,MESH:D000086382,,Zinc,3.11,2
SLC39A12,221074,COVID-19,MESH:D000086382,,Zinc,3.11,2
STARD6,147323,COVID-19,MESH:D000086382,,Choline,3.11,1
TSPYL3,241732,COVID-19,MESH:D000086382,,Choline,3.11,1
TULP1,7287,COVID-19,MESH:D000086382,,Choline,3.11,1
WFDC15B,192201,COVID-19,MESH:D000086382,,Choline,3.11,1
ZFP354C,30944,COVID-19,MESH:D000086382,,Choline,3.11,1
ZFP40,22700,COVID-19,MESH:D000086382,,Choline,3.11,1
ZNF124,7678,COVID-19,MESH:D000086382,,Zinc,3.11,2
ZNF32,7580,COVID-19,MESH:D000086382,,Zinc,3.11,2
ZSCAN5A,79149,COVID-19,MESH:D000086382,,Zinc,3.11,2
CISH,1154,COVID-19,MESH:D000086382,,Melatonin,3.10,2
CNR2,1269,COVID-19,MESH:D000086382,,Dactinomycin,3.10,1
FNDC1,84624,COVID-19,MESH:D000086382,,Zinc Sulfate,3.10,1
MST1,4485,COVID-19,MESH:D000086382,,Zinc Sulfate,3.10,1
TXN1,22166,COVID-19,MESH:D000086382,,Melatonin,3.10,2
C17ORF49,124944,COVID-19,MESH:D000086382,,Ivermectin,3.09,2
CD300C2,140497,COVID-19,MESH:D000086382,,Choline,3.09,1
CFHR2,3080,COVID-19,MESH:D000086382,,Zinc,3.09,2
GRID2IP,392862,COVID-19,MESH:D000086382,,Choline,3.09,1
GSDMB,55876,COVID-19,MESH:D000086382,,Zinc,3.09,2
H4C12,8362,COVID-19,MESH:D000086382,,Zinc,3.09,2
HSP27,39078,COVID-19,MESH:D000086382,,Zinc,3.09,2
ICOSL,50723,COVID-19,MESH:D000086382,,Choline,3.09,1
IGLL1,3543,COVID-19,MESH:D000086382,,Zinc,3.09,2
KCNV2,169522,COVID-19,MESH:D000086382,,Choline,3.09,1
LHCGR,3973,COVID-19,MESH:D000086382,,Melatonin,3.09,2
MFN1,55669,COVID-19,MESH:D000086382,,Melatonin,3.09,2
NOTCH2,4853,COVID-19,MESH:D000086382,,Melatonin,3.09,2
PCDHB21,93892,COVID-19,MESH:D000086382,,Choline,3.09,1
PLXND1,23129,COVID-19,MESH:D000086382,,Zinc Sulfate,3.09,1
RBM13,31818,COVID-19,MESH:D000086382,,Choline,3.09,1
RIPK3,11035,COVID-19,MESH:D000086382,,Melatonin,3.09,2
RSBN1L,222194,COVID-19,MESH:D000086382,,Zinc,3.09,2
SERPINA4-PS1,321018,COVID-19,MESH:D000086382,,Choline,3.09,1
SIPA1L1,26037,COVID-19,MESH:D000086382,,Zinc Sulfate,3.09,1
SLC6A20A,102680,COVID-19,MESH:D000086382,,Choline,3.09,1
SOCS3A,335409,COVID-19,MESH:D000086382,,Zinc,3.09,2
TMED7-TICAM2,100302736,COVID-19,MESH:D000086382,,Ivermectin,3.09,2
TMPRSS11D,9407,COVID-19,MESH:D000086382,,Zinc,3.09,2
ZFP329,67230,COVID-19,MESH:D000086382,,Choline,3.09,1
ZNF274,10782,COVID-19,MESH:D000086382,,Zinc,3.09,2
AP4B1,10717,COVID-19,MESH:D000086382,,Zinc,3.08,2
ARL14EP,120534,COVID-19,MESH:D000086382,,Zinc,3.08,2
BCL2A,570772,COVID-19,MESH:D000086382,,Zinc,3.08,2
CCK,885,COVID-19,MESH:D000086382,,Melatonin,3.08,2
CLEC1A,51267,COVID-19,MESH:D000086382,,Zinc,3.08,2
CLSTN3,9746,COVID-19,MESH:D000086382,,Zinc Sulfate,3.08,1
CRY1,1407,COVID-19,MESH:D000086382,,Melatonin,3.08,2
DNAJC25,548645,COVID-19,MESH:D000086382,,Zinc,3.08,2
FAM204A,63877,COVID-19,MESH:D000086382,,Zinc,3.08,2
FOLR1,2348,COVID-19,MESH:D000086382,,Sirolimus,3.08,1
GNRH1,2796,COVID-19,MESH:D000086382,,Melatonin,3.08,2
LIPF,8513,COVID-19,MESH:D000086382,,Zinc,3.08,2
NACAD,23148,COVID-19,MESH:D000086382,,Zinc,3.08,2
RAI1,10743,COVID-19,MESH:D000086382,,Zinc Sulfate,3.08,1
S100A5,6276,COVID-19,MESH:D000086382,,Zinc,3.08,2
TOGARAM2,165186,COVID-19,MESH:D000086382,,Zinc,3.08,2
TRIML2,205860,COVID-19,MESH:D000086382,,Zinc,3.08,2
TUT1,64852,COVID-19,MESH:D000086382,,Zinc,3.08,2
ADAM2,2515,COVID-19,MESH:D000086382,,Zinc,3.07,2
ANKRD53,79998,COVID-19,MESH:D000086382,,Choline,3.07,1
BPIFB1,92747,COVID-19,MESH:D000086382,,Zinc,3.07,2
CLEC4A2,26888,COVID-19,MESH:D000086382,,Choline,3.07,1
CLPS,1208,COVID-19,MESH:D000086382,,Zinc,3.07,2
CYP19A1B,60640,COVID-19,MESH:D000086382,,Zinc Sulfate,3.07,1
DCX,1641,COVID-19,MESH:D000086382,,Zinc Sulfate,3.07,1
DLG2,1740,COVID-19,MESH:D000086382,,Zinc Sulfate,3.07,1
ENPP7,339221,COVID-19,MESH:D000086382,,Zinc,3.07,2
LY6G6D,58530,COVID-19,MESH:D000086382,,Choline,3.07,1
MFAP5,8076,COVID-19,MESH:D000086382,,Zinc Sulfate,3.07,1
MIR335,442904,COVID-19,MESH:D000086382,,Zinc,3.07,2
NRIP3,56675,COVID-19,MESH:D000086382,,Zinc Sulfate,3.07,1
PLA2G4E,123745,COVID-19,MESH:D000086382,,Ivermectin,3.07,2
PROX1,5629,COVID-19,MESH:D000086382,,Zinc Sulfate,3.07,1
PTF1A,256297,COVID-19,MESH:D000086382,,Choline,3.07,1
ROR1,4919,COVID-19,MESH:D000086382,,Zinc Sulfate,3.07,1
SERHL2,253190,COVID-19,MESH:D000086382,,Zinc,3.07,2
SNHG29,125144,COVID-19,MESH:D000086382,,Zinc,3.07,2
SNTB1,6641,COVID-19,MESH:D000086382,,Zinc Sulfate,3.07,1
SPATA13,221178,COVID-19,MESH:D000086382,,Zinc Sulfate,3.07,1
SPRR2F,6705,COVID-19,MESH:D000086382,,Zinc,3.07,2
STX4A,20909,COVID-19,MESH:D000086382,,Choline,3.07,1
TCF19,6941,COVID-19,MESH:D000086382,,Sirolimus,3.07,1
TTLL4,9654,COVID-19,MESH:D000086382,,Zinc,3.07,2
TUBB8,347688,COVID-19,MESH:D000086382,,Ivermectin,3.07,2
WDR20,91833,COVID-19,MESH:D000086382,,Zinc,3.07,2
ZDHHC4,55146,COVID-19,MESH:D000086382,,Zinc,3.07,2
ZFP61,22719,COVID-19,MESH:D000086382,,Choline,3.07,1
ZFP827,622675,COVID-19,MESH:D000086382,,Choline,3.07,1
NR5A1,2516,COVID-19,MESH:D000086382,,Sirolimus,3.06,1
PIK3CD,5293,COVID-19,MESH:D000086382,,Sirolimus,3.06,1
TARS1,6897,COVID-19,MESH:D000086382,,Sirolimus,3.06,1
AXUD1,33419,COVID-19,MESH:D000086382,,Choline,3.05,1
C21ORF91,54149,COVID-19,MESH:D000086382,,Zinc,3.05,2
CNTN6,27255,COVID-19,MESH:D000086382,,Zinc,3.05,2
COA1,55744,COVID-19,MESH:D000086382,,Zinc,3.05,2
CR1,1378,COVID-19,MESH:D000086382,,Zinc,3.05,2
CYP1A,140634,COVID-19,MESH:D000086382,,Dactinomycin,3.05,1
DAF-16,172981,COVID-19,MESH:D000086382,,Zinc,3.05,2
DRGX,644168,COVID-19,MESH:D000086382,,Choline,3.05,1
FBXO5,26271,COVID-19,MESH:D000086382,,Sirolimus,3.05,1
FBXW17,109082,COVID-19,MESH:D000086382,,Choline,3.05,1
MED9,55090,COVID-19,MESH:D000086382,,Zinc,3.05,2
MFSD2,100194875,COVID-19,MESH:D000086382,,Choline,3.05,1
MIR148B,442892,COVID-19,MESH:D000086382,,Choline,3.05,1
MIR92B,693235,COVID-19,MESH:D000086382,,Choline,3.05,1
MTFR1L,56181,COVID-19,MESH:D000086382,,Zinc,3.05,2
MYBL2,4605,COVID-19,MESH:D000086382,,Sirolimus,3.05,1
NAIP2,17948,COVID-19,MESH:D000086382,,Choline,3.05,1
PFN4,375189,COVID-19,MESH:D000086382,,Choline,3.05,1
PMCH,5367,COVID-19,MESH:D000086382,,Zinc,3.05,2
PPP1R36,145376,COVID-19,MESH:D000086382,,Zinc,3.05,2
RAB20,55647,COVID-19,MESH:D000086382,,Zinc Sulfate,3.05,1
TNFRSF26,244237,COVID-19,MESH:D000086382,,Choline,3.05,1
TSSK6,83983,COVID-19,MESH:D000086382,,Choline,3.05,1
VAX1,11023,COVID-19,MESH:D000086382,,Choline,3.05,1
ZFP30,22835,COVID-19,MESH:D000086382,,Choline,3.05,1
ZFP622,52521,COVID-19,MESH:D000086382,,Choline,3.05,1
ZFP644,52397,COVID-19,MESH:D000086382,,Choline,3.05,1
ZFP707,69020,COVID-19,MESH:D000086382,,Choline,3.05,1
ZNF331,55422,COVID-19,MESH:D000086382,,Zinc,3.05,2
ZNF346,23567,COVID-19,MESH:D000086382,,Ivermectin,3.05,2
AGPAT3,56894,COVID-19,MESH:D000086382,,Zinc Sulfate,3.04,1
BCL2A1B,12045,COVID-19,MESH:D000086382,,Choline,3.04,1
DYNLT4,343521,COVID-19,MESH:D000086382,,Choline,3.04,1
EAPP,55837,COVID-19,MESH:D000086382,,Zinc,3.04,2
LYRM4,57128,COVID-19,MESH:D000086382,,Zinc,3.04,2
MAGI2,9863,COVID-19,MESH:D000086382,,Zinc Sulfate,3.04,1
METTL4,64863,COVID-19,MESH:D000086382,,Zinc,3.04,2
MIR181C,406957,COVID-19,MESH:D000086382,,Zinc,3.04,2
MIR342,442909,COVID-19,MESH:D000086382,,Zinc,3.04,2
MIR351,723910,COVID-19,MESH:D000086382,,Choline,3.04,1
MIR362,574030,COVID-19,MESH:D000086382,,Zinc,3.04,2
NELL2,4753,COVID-19,MESH:D000086382,,Zinc Sulfate,3.04,1
PAX4,5078,COVID-19,MESH:D000086382,,Zinc,3.04,2
PPP1R3F,89801,COVID-19,MESH:D000086382,,Choline,3.04,1
S100A7,6278,COVID-19,MESH:D000086382,,Zinc,3.04,2
SCG2,7857,COVID-19,MESH:D000086382,,Zinc Sulfate,3.04,1
SLC22A27,171405,COVID-19,MESH:D000086382,,Choline,3.04,1
TP63,8626,COVID-19,MESH:D000086382,,Sirolimus,3.04,1
ZC3H12B,340554,COVID-19,MESH:D000086382,,Choline,3.04,1
ZFP444,72667,COVID-19,MESH:D000086382,,Choline,3.04,1
ZNF627,199692,COVID-19,MESH:D000086382,,Zinc,3.04,2
CEP20,123811,COVID-19,MESH:D000086382,,Zinc,3.03,2
CFAP96,441054,COVID-19,MESH:D000086382,,Zinc,3.03,2
CSTA,1475,COVID-19,MESH:D000086382,,Zinc Sulfate,3.03,1
CYP4F1,56266,COVID-19,MESH:D000086382,,Zinc,3.03,2
FOXP1,27086,COVID-19,MESH:D000086382,,Sirolimus,3.03,1
GID8,54994,COVID-19,MESH:D000086382,,Ivermectin,3.03,2
HBA1,3039,COVID-19,MESH:D000086382,,Zinc Sulfate,3.03,1
HMG20B,10362,COVID-19,MESH:D000086382,,Zinc,3.03,2
IRS4,8471,COVID-19,MESH:D000086382,,Zinc,3.03,2
MEAK7,57707,COVID-19,MESH:D000086382,,Ivermectin,3.03,2
NUAK2,81788,COVID-19,MESH:D000086382,,Zinc Sulfate,3.03,1
RPL26L1,51121,COVID-19,MESH:D000086382,,Ivermectin,3.03,2
SATB2,23314,COVID-19,MESH:D000086382,,Zinc Sulfate,3.03,1
ZAP70,7535,COVID-19,MESH:D000086382,,Zinc Sulfate,3.03,1
ANKRD34B,340120,COVID-19,MESH:D000086382,,Choline,3.02,1
ARHGEF3,50650,COVID-19,MESH:D000086382,,Zinc Sulfate,3.02,1
CDON,50937,COVID-19,MESH:D000086382,,Zinc Sulfate,3.02,1
CHGA,1113,COVID-19,MESH:D000086382,,Zinc Sulfate,3.02,1
CSF2RB,1439,COVID-19,MESH:D000086382,,Zinc Sulfate,3.02,1
DBH,1621,COVID-19,MESH:D000086382,,Zinc Sulfate,3.02,1
DISP3,57540,COVID-19,MESH:D000086382,,Choline,3.02,1
FAM20C,56975,COVID-19,MESH:D000086382,,Zinc Sulfate,3.02,1
GGN,199720,COVID-19,MESH:D000086382,,Choline,3.02,1
GNG11,2791,COVID-19,MESH:D000086382,,Zinc Sulfate,3.02,1
MIR224,407009,COVID-19,MESH:D000086382,,Choline,3.02,1
PCDHB7,56129,COVID-19,MESH:D000086382,,Choline,3.02,1
SCRT1,83482,COVID-19,MESH:D000086382,,Choline,3.02,1
ZFHX3,463,COVID-19,MESH:D000086382,,Zinc Sulfate,3.02,1
ZPBP,11055,COVID-19,MESH:D000086382,,Choline,3.02,1
CH25H,9023,COVID-19,MESH:D000086382,,Zinc Sulfate,3.01,1
FUT9,10690,COVID-19,MESH:D000086382,,Zinc,3.01,2
IFI6,2537,COVID-19,MESH:D000086382,,Zinc Sulfate,3.01,1
KRT6C,286887,COVID-19,MESH:D000086382,,Ivermectin,3.01,2
MIR16,100313997,COVID-19,MESH:D000086382,,Zinc,3.01,2
MIR186,406962,COVID-19,MESH:D000086382,,Zinc,3.01,2
MIR423,494335,COVID-19,MESH:D000086382,,Zinc,3.01,2
NCOA1,8648,COVID-19,MESH:D000086382,,Melatonin,3.01,2
RAET1L,154064,COVID-19,MESH:D000086382,,Ivermectin,3.01,2
SLC5A10,125206,COVID-19,MESH:D000086382,,Zinc,3.01,2
ZNF57,126295,COVID-19,MESH:D000086382,,Zinc,3.01,2
ZWINT,11130,COVID-19,MESH:D000086382,,Sirolimus,3.01,1
ABHD5,51099,COVID-19,MESH:D000086382,,Zinc Sulfate,3.00,1
